Position_X,Position_Y,Velocity_X,Velocity_Y,Rotation_X,Raycast_1,Raycast_2,Raycast_3,Raycast_4,Raycast_5,Raycast_6,Raycast_7,Raycast_8,Score,Horizontal,Jump
-293,-11.97,0,0,0,2.999969,0.395943,0.2799778,0.3959403,1,1.414207,4.720005,6.67513,0,0,0
-293.55,-11.30014,-7.610962,22.4949,-1,3.549988,1.343267,0.949831,0.6364114,0.4500122,0.636385,4.050146,5.727803,0,-1,1
-293.55,-8.201164,0,10.4949,-1,10,5.020406,4.048809,0.6363978,0.4499817,0.6363723,0.9511662,1.34516,0,-1,1
-293.55,-9.050001,0,-12.00002,-1,10,4.52549,3.199972,0.636379,0.4499817,0.6363756,1.800003,2.545606,0,-1,1
-293.55,-11.30014,-0.0001830608,22.4949,-1,3.549988,1.34329,0.9498329,0.6364114,0.4500122,0.636385,4.050144,5.727801,0,-1,1
-291.7164,-8.201162,9.986282,10.4949,1,10,3.841532,4.048824,3.229489,2.283569,1.345158,0.9511733,1.345165,0,-1,1
-293.3838,-9.049996,-9.972584,-12.00003,-1,10,4.525493,3.199979,0.871464,0.6162109,0.8714802,1.8,2.545603,0,-1,1
-293.55,-12.04997,-4.987061,0,-1,3.549957,0.2828532,0.2000008,0.2828505,0.4500122,0.63641,4.799976,6.788216,0,-1,1
-293.55,-8.550994,0,12.4949,-1,10,5.020398,3.698979,0.6363992,0.4499817,0.6363729,1.300996,1.83989,0,-1,1
-293.55,-8.650001,0,-9.000015,-1,10,5.020396,3.599973,0.6363992,0.4500122,0.6363736,1.400003,1.979923,0,-1,1
-291.7164,-12.04998,9.986282,-11.99945,1,1.71637,0.2828323,0.2000027,0.2828519,2.2836,3.229485,4.799996,10,0,-1,1
-293.3831,-8.967502,0,14.4949,-1,10,4.642156,3.282474,0.8723696,0.6168823,0.8723649,1.717505,2.42892,0,-1,1
-291.5495,-8.283324,9.986282,-4.999958,1,10,3.605544,3.966664,3.465479,2.450439,1.461347,1.033336,1.461375,0,0,0
-289.5497,-11.05001,9.999981,-13.00066,1,0.5497131,0.2828546,0.2000103,0.2828627,4.450256,5.374031,3.800027,0.7774273,0,0,0
-289.45,-11.05001,0.0001830608,0,1,0.4500122,0.282831,0.2000074,0.2828606,4.549957,5.374032,3.800028,0.6364484,0,0,0
-291.4501,-11.91667,-10,-11,-1,1.450073,0.4713798,0.3333168,0.4713548,2.549896,3.606062,4.666685,10,0,0,0
-293.4502,-12.04998,-10,0,-1,3.450134,0.2828242,0.1999912,0.2828438,0.5498352,0.7775803,4.799987,6.788245,0,0,0
-293.4502,-12.04998,0,0,-1,3.450134,0.2828242,0.1999912,0.2828438,0.5498352,0.7775803,4.799987,6.788245,0,0,0
-293.55,-8.551003,0,12.4949,-1,10,5.020398,3.69897,0.6363992,0.4499817,0.6363736,1.301006,1.839918,0,0,0
-293.55,-8.549999,0,-8,-1,10,5.020398,3.699974,0.6363985,0.4499817,0.6363736,1.300001,1.838496,0,0,0
-293.55,-12.04997,0,-19.99916,-1,3.549957,0.2828539,0.2000017,0.2828296,0.4500122,0.63641,4.799973,6.788215,0,0,0
-293.55,-12.04997,-0.0001830608,0,-1,3.549957,0.2828539,0.2000017,0.2828296,0.4500122,0.63641,4.799973,6.788215,0,0,0
-293.55,-12.04997,-0.0001830608,0,-1,3.549957,0.2828539,0.2000017,0.2828296,0.4500122,0.63641,4.799973,6.788215,0,0,1
-293.55,-8.550992,0,12.4949,-1,10,5.020398,3.698981,0.6363992,0.4499817,0.6363729,1.300994,1.839888,0,0,1
-293.55,-8.650001,0,-9.000015,-1,10,5.020396,3.599973,0.6363992,0.4500122,0.6363736,1.400003,1.979923,0,0,1
-293.55,-12.04997,0,-11.99905,-1,3.549957,0.2828539,0.2000017,0.2828296,0.4500122,0.63641,4.799973,6.788215,0,0,1
-291.5499,-8.967488,10,14.4949,1,10,3.227957,3.2825,3.464922,2.450073,2.428905,1.7175,2.428939,0,0,1
-291.3835,-8.28332,0.01371742,-4.999972,1,10,3.370701,3.966669,3.700348,2.616516,1.461344,1.033333,1.461351,0,0,1
-293.2168,-11.38332,-9.986264,-22.99997,-1,3.216827,1.225654,0.8666611,1.107573,0.7831726,1.107565,4.133318,5.845418,0,0,1
-293.3278,-9.450651,0,16.4949,-1,8.327789,3.958873,2.799324,0.9506184,0.6721802,0.9506117,2.200655,3.112202,0,0,1
-293.3278,-8.116664,0,-1.999972,-1,10,4.706199,4.133311,0.9506346,0.6721802,0.950607,0.8666668,1.225657,0,0,1
-293.3278,-10.61666,0,-19.99997,-1,4.327789,2.309877,1.633316,0.9506448,0.6721802,0.9506177,3.366663,4.761195,0,0,1
-293.55,-12.04997,-0.0001830608,0,-1,3.549957,0.2828532,0.2000008,0.2828505,0.4500122,0.63641,4.799976,6.788216,0,1,0
-293.55,-8.550994,0,12.4949,-1,10,5.020398,3.698979,0.6363992,0.4499817,0.6363729,1.300996,1.83989,0,1,0
-293.55,-8.650001,0,-9.000015,-1,10,5.020396,3.599973,0.6363992,0.4500122,0.6363736,1.400003,1.979923,0,1,0
-293.55,-12.04997,0,-11.99905,-1,3.549957,0.2828539,0.2000017,0.2828296,0.4500122,0.63641,4.799973,6.788215,0,1,0
-291.5499,-8.967488,10,14.4949,1,10,3.227957,3.2825,3.464922,2.450073,2.428905,1.7175,2.428939,0,1,0
-291.3835,-8.28332,0.01371742,-4.999972,1,10,3.370701,3.966669,3.700348,2.616516,1.461344,1.033333,1.461351,0,1,0
-291.3832,-11.38332,1.881675E-05,-22.99997,1,1.383209,1.225663,0.8666735,1.225654,2.61676,3.700662,4.133328,8.673837,0,1,0
-293.2722,-12.04999,-10,0,-1,3.272156,0.2828458,0.1999903,0.2828215,0.7278442,1.029323,4.799989,6.788247,0,1,0
-293.55,-12.04999,-0.0001830608,0,-1,3.549957,0.2828222,0.1999874,0.2828202,0.4500122,0.63641,4.799988,6.788246,0,1,0
-293.55,-12.04999,-0.0001830608,0,-1,3.549957,0.2828222,0.1999874,0.2828202,0.4500122,0.63641,4.799988,6.788246,0,1,0
-293.55,-12.04999,-0.0001830608,0,-1,3.549957,0.2828222,0.1999874,0.2828202,0.4500122,0.63641,4.799988,6.788246,0,-1,1
-291.5499,-8.551005,10,12.4949,1,10,3.606099,3.698983,3.464919,2.450043,1.839896,1.301018,1.839926,0,-1,1
-291.3835,-8.549989,0.01371742,-7.999987,1,10,3.370674,3.700001,3.70035,2.616516,1.838466,1.300001,1.838496,0,-1,1
-291.3832,-12.04999,1.881675E-05,-20.00004,1,1.383179,0.2828532,0.2000017,0.2828512,2.616791,3.700686,4.800001,10,0,-1,1
-291.3832,-12.04999,0,0,1,1.383179,0.2828532,0.2000017,0.2828512,2.616791,3.700686,4.800001,10,0,-1,1
